url,status,title,address_street,area,quartos,suite,banheiros,vagas,andar,pet,mobiliado,metro_proximo,Aluguel,Condomínio,IPTU,Seguro incêndio,Taxa de serviço,Total
https://www.quintoandar.com.br/imovel/893535773/alugar/kitnet-1-quarto-butanta-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A215%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 35m², 1 quarto e 1 vaga",Condomínios em São Paulo,35,1.0,0,1.0,1.0,28° a 31° andar,não,sim,sim,R$ 4.700,R$ 987,R$ 230,R$ 60,R$ 121,R$ 6.098
https://www.quintoandar.com.br/imovel/892805669/alugar/apartamento-1-quarto-vila-madalena-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A108%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 34m², 1 quarto e 1 vaga",Condomínios em São Paulo,34,1.0,0,1.0,1.0,4° a 7° andar,sim,sim,não,R$ 3.600,R$ 534,R$ 179,R$ 46,R$ 93,R$ 4.452
https://www.quintoandar.com.br/imovel/894801867/alugar/kitnet-1-quarto-sumarezinho-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A457%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 25m², 1 quarto e sem vaga",Condomínios em São Paulo,25,1.0,0,1.0,,4° a 7° andar,não,sim,sim,R$ 3.233,R$ 935,R$ 0,R$ 41,R$ 83,R$ 4.292
https://www.quintoandar.com.br/imovel/895055487/alugar/apartamento-3-quartos-vila-madalena-sao-paulo?from_route=%22search_results%22&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A283%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 150m², 3 quartos e 3 vagas",Rua Girassol,150,3.0,2,3.0,3.0,4° a 7° andar,sim,não,não,R$ 6.000,R$ 3.998,R$ 1.083,R$ 77,R$ 155,R$ 11.313
https://www.quintoandar.com.br/imovel/893611976/alugar/apartamento-4-quartos-alto-da-lapa-sao-paulo?from_route=%22search_results%22&house_tags=newAd&house_tags=rentPriceDecreased&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A776%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 160m², 4 quartos e 2 vagas",Rua Presidente Antônio Cândido,160,4.0,2,3.0,2.0,Até 3° andar,sim,não,não,R$ 6.650,R$ 2.000,R$ 580,R$ 85,R$ 172,R$ 9.487
https://www.quintoandar.com.br/imovel/893270253/alugar/apartamento-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A912%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 68m², 1 quarto e 1 vaga",Condomínios em São Paulo,68,1.0,1,2.0,1.0,20° a 23° andar,não,sim,sim,R$ 5.900,R$ 1.305,R$ 955,R$ 75,R$ 152,R$ 8.387
https://www.quintoandar.com.br/imovel/893400933/alugar/apartamento-2-quartos-vila-pirajussara-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A429%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 89m², 2 quartos e 1 vaga",Condomínios em São Paulo,89,2.0,0,1.0,1.0,Até 3° andar,sim,não,sim,R$ 3.450,R$ 748,R$ 69,R$ 44,R$ 89,R$ 4.400
https://www.quintoandar.com.br/imovel/894897982/alugar/kitnet-1-quarto-vila-madalena-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A385%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 24m², 1 quarto e sem vaga",Condomínios em São Paulo,24,1.0,1,1.0,,Até 3° andar,não,sim,não,R$ 2.930,R$ 814,R$ 0,R$ 38,R$ 75,R$ 3.857
https://www.quintoandar.com.br/imovel/892857747/alugar/apartamento-3-quartos-sumarezinho-sao-paulo?from_route=%22search_results%22&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A407%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 124m², 3 quartos e 2 vagas",Condomínios em São Paulo,124,3.0,1,2.0,2.0,4° a 7° andar,sim,não,sim,R$ 7.000,R$ 2.000,R$ 385,R$ 89,R$ 181,R$ 9.655
https://www.quintoandar.com.br/imovel/894722182/alugar/casa-3-quartos-alto-de-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A20%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 200m², 3 quartos e 4 vagas",Rua Vitorino de Carvalho,200,3.0,1,4.0,4.0,,sim,não,não,R$ 9.840,Incluso,R$ 667,R$ 163,R$ 254,R$ 10.924
