url,status,title,address_street,area,quartos,suite,banheiros,vagas,andar,pet,mobiliado,metro_proximo,Aluguel,Condomínio,IPTU,Seguro incêndio,Taxa de serviço,Total
https://www.quintoandar.com.br/imovel/894745646/alugar/apartamento-2-quartos-vila-madalena-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A931%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 67m², 2 quartos e 1 vaga",,67,2.0,1,2.0,1.0,4° a 7° andar,sim,sim,não,R$ 4.500,R$ 976,R$ 0,R$ 58,R$ 116,R$ 5.650
https://www.quintoandar.com.br/imovel/894125332/alugar/apartamento-4-quartos-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A700%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 246m², 4 quartos e 3 vagas",Rua Costa Carvalho,246,4.0,4,6.0,3.0,Até 3° andar,sim,não,sim,R$ 9.000,R$ 5.800,R$ 2.950,R$ 115,R$ 233,R$ 18.098
https://www.quintoandar.com.br/imovel/893145018/alugar/casa-5-quartos-vila-indiana-sao-paulo?from_route=%22search_results%22&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A484%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 500m², 5 quartos e 8 vagas",Rua Boturoca,500,5.0,3,6.0,8.0,,sim,não,não,R$ 15.900,Incluso,R$ 917,R$ 263,R$ 411,R$ 17.491
https://www.quintoandar.com.br/imovel/894926830/alugar/apartamento-2-quartos-vila-leopoldina-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&house_tags=rentPriceDecreased&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A889%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 35m², 2 quartos e sem vaga",Avenida José César de Oliveira,35,2.0,0,1.0,,12° a 15° andar,sim,não,sim,R$ 1.980,R$ 500,R$ 150,R$ 26,R$ 51,R$ 2.707
https://www.quintoandar.com.br/imovel/892850764/alugar/apartamento-2-quartos-vila-lageado-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A228%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 50m², 2 quartos e 1 vaga",Condomínios em São Paulo,50,2.0,0,1.0,1.0,12° a 15° andar,sim,sim,não,R$ 1.549,R$ 10.200,R$ 0,R$ 20,R$ 40,R$ 11.809
https://www.quintoandar.com.br/imovel/893578285/alugar/casa-4-quartos-jardim-odete-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A418%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 146m², 4 quartos e 3 vagas",Rua Marinha de Moura Pimenta,146,4.0,0,2.0,3.0,,sim,não,não,R$ 3.500,R$ 0,R$ 330,R$ 58,R$ 90,R$ 3.978
https://www.quintoandar.com.br/imovel/894782571/alugar/kitnet-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A959%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 26m², 1 quarto e sem vaga",Condomínios em São Paulo,26,1.0,0,1.0,,16° a 19° andar,sim,não,sim,R$ 2.800,R$ 500,R$ 0,R$ 36,R$ 72,R$ 3.408
https://www.quintoandar.com.br/imovel/895047099/alugar/apartamento-1-quarto-butanta-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A140%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 59m², 1 quarto e 1 vaga",Condomínios em São Paulo,59,1.0,1,1.0,1.0,20° a 23° andar,sim,não,sim,R$ 3.000,R$ 535,R$ 36,R$ 39,R$ 77,R$ 3.687
https://www.quintoandar.com.br/imovel/895090172/alugar/apartamento-2-quartos-vila-butanta-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A262%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 38m², 2 quartos e sem vaga",Condomínios em São Paulo,38,2.0,0,1.0,,8° a 11° andar,sim,sim,não,R$ 3.175,R$ 500,R$ 42,R$ 41,R$ 82,R$ 3.840
https://www.quintoandar.com.br/imovel/893526965/alugar/kitnet-1-quarto-butanta-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A208%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 30m², 1 quarto e sem vaga",Condomínios em São Paulo,30,1.0,1,1.0,,4° a 7° andar,sim,sim,sim,R$ 3.232,R$ 350,R$ 50,R$ 41,R$ 83,R$ 3.756
