url,status,title,address_street,area,quartos,suite,banheiros,vagas,andar,pet,mobiliado,metro_proximo,Aluguel,Condomínio,IPTU,Seguro incêndio,Taxa de serviço,Total
https://www.quintoandar.com.br/imovel/893344050/alugar/apartamento-3-quartos-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%2221c6ce5e-7664-422f-90e6-4f302c8f3bc3%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A368%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 153m², 3 quartos e 1 vaga",Avenida Pedroso de Morais,153,3,1,2,1.0,Até 3° andar,sim,não,sim,R$ 6.500,R$ 2.000,R$ 369,R$ 83,R$ 168,R$ 9.120
https://www.quintoandar.com.br/imovel/895074406/alugar/kitnet-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=newAd&search_id=%2221c6ce5e-7664-422f-90e6-4f302c8f3bc3%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A434%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 31m², 1 quarto e sem vaga",Condomínios em São Paulo,31,1,0,1,,8° a 11° andar,não,sim,não,R$ 4.500,R$ 650,R$ 84,R$ 58,R$ 116,R$ 5.408
https://www.quintoandar.com.br/imovel/893266158/alugar/apartamento-2-quartos-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%2221c6ce5e-7664-422f-90e6-4f302c8f3bc3%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A160%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 66m², 2 quartos e sem vaga",Condomínios em São Paulo,66,2,0,2,,4° a 7° andar,sim,não,sim,R$ 2.800,R$ 783,R$ 202,R$ 36,R$ 72,R$ 3.893
https://www.quintoandar.com.br/imovel/892891664/alugar/apartamento-2-quartos-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%2221c6ce5e-7664-422f-90e6-4f302c8f3bc3%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A142%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 80m², 2 quartos e 1 vaga",Condomínios em São Paulo,80,2,1,3,1.0,12° a 15° andar,não,não,sim,R$ 7.288,R$ 1.605,R$ 251,R$ 93,R$ 188,R$ 9.425
https://www.quintoandar.com.br/imovel/892773216/alugar/apartamento-2-quartos-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%2221c6ce5e-7664-422f-90e6-4f302c8f3bc3%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A134%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 48m², 2 quartos e 1 vaga",Rua Cardeal Arcoverde,48,2,0,1,1.0,8° a 11° andar,sim,não,sim,R$ 3.880,R$ 800,R$ 267,R$ 50,R$ 100,R$ 5.097
https://www.quintoandar.com.br/imovel/894862926/alugar/apartamento-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%2221c6ce5e-7664-422f-90e6-4f302c8f3bc3%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A321%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 30m², 1 quarto e sem vaga",Condomínios em São Paulo,30,1,1,1,,4° a 7° andar,sim,não,sim,R$ 2.300,R$ 600,R$ 0,R$ 30,R$ 59,R$ 2.989
https://www.quintoandar.com.br/imovel/892918472/alugar/kitnet-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%2221c6ce5e-7664-422f-90e6-4f302c8f3bc3%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A30%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 32m², 1 quarto e 1 vaga",Condomínios em São Paulo,32,1,1,1,1.0,4° a 7° andar,não,sim,sim,R$ 3.450,R$ 720,R$ 184,R$ 44,R$ 89,R$ 4.487
https://www.quintoandar.com.br/imovel/893772174/alugar/kitnet-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%2221c6ce5e-7664-422f-90e6-4f302c8f3bc3%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A358%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 20m², 1 quarto e sem vaga",Condomínios em São Paulo,20,1,1,1,,12° a 15° andar,sim,sim,sim,R$ 3.950,R$ 450,R$ 0,R$ 51,R$ 102,R$ 4.553
https://www.quintoandar.com.br/imovel/895098039/alugar/kitnet-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=newAd&house_tags=rentPriceDecreased&search_id=%2221c6ce5e-7664-422f-90e6-4f302c8f3bc3%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A211%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 30m², 1 quarto e sem vaga",Condomínios em São Paulo,30,1,0,1,,8° a 11° andar,sim,sim,sim,R$ 3.950,R$ 720,R$ 73,R$ 51,R$ 102,R$ 4.896
https://www.quintoandar.com.br/imovel/894158436/alugar/kitnet-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%2221c6ce5e-7664-422f-90e6-4f302c8f3bc3%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A249%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 40m², 1 quarto e 1 vaga",Condomínios em São Paulo,40,1,1,1,1.0,Até 3° andar,não,sim,sim,R$ 4.500,R$ 560,R$ 194,R$ 58,R$ 116,R$ 5.428
