url,status,title,address_street,area,quartos,suite,banheiros,vagas,andar,pet,mobiliado,metro_proximo,Aluguel,Condomínio,IPTU,Seguro incêndio,Taxa de serviço,Total
https://www.quintoandar.com.br/imovel/895090600/alugar/kitnet-1-quarto-vila-madalena-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&house_tags=rentPriceDecreased&search_id=%224b6dec5e-3307-4df0-b6c2-5d66829455c0%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A21%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 35m², 1 quarto e sem vaga",Condomínios em São Paulo,35,1.0,1,1.0,,Até 3° andar,sim,sim,sim,R$ 3.800,R$ 732,R$ 150,R$ 49,R$ 98,R$ 4.829
https://www.quintoandar.com.br/imovel/893062742/alugar/apartamento-4-quartos-vila-pompeia-sao-paulo?from_route=%22search_results%22&search_id=%224b6dec5e-3307-4df0-b6c2-5d66829455c0%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A955%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 540m², 4 quartos e 4 vagas",Condomínios em São Paulo,540,4.0,2,6.0,4.0,12° a 15° andar,sim,não,não,R$ 14.500,R$ 2.600,R$ 834,R$ 184,R$ 375,R$ 18.493
https://www.quintoandar.com.br/imovel/894603251/alugar/apartamento-3-quartos-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%224b6dec5e-3307-4df0-b6c2-5d66829455c0%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A500%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 190m², 3 quartos e 2 vagas",Condomínios em São Paulo,190,3.0,1,2.0,2.0,Até 3° andar,sim,não,sim,R$ 6.255,R$ 3.200,R$ 667,R$ 80,R$ 162,R$ 10.364
https://www.quintoandar.com.br/imovel/894979661/alugar/kitnet-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%224b6dec5e-3307-4df0-b6c2-5d66829455c0%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A668%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 10m², 1 quarto e sem vaga",Condomínios em São Paulo,10,1.0,1,1.0,,Até 3° andar,sim,sim,sim,R$ 3.100,R$ 150,R$ 0,R$ 40,R$ 80,R$ 3.370
https://www.quintoandar.com.br/imovel/894535032/alugar/kitnet-1-quarto-sumarezinho-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%224b6dec5e-3307-4df0-b6c2-5d66829455c0%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A152%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 31m², 1 quarto e sem vaga",Rua Senador César Lacerda Vergueiro,31,1.0,0,1.0,,4° a 7° andar,sim,sim,sim,R$ 3.260,R$ 674,R$ 0,R$ 42,R$ 84,R$ 4.060
https://www.quintoandar.com.br/imovel/893418884/alugar/apartamento-1-quarto-sumarezinho-sao-paulo?from_route=%22search_results%22&house_tags=newAd&house_tags=rentPriceDecreased&search_id=%224b6dec5e-3307-4df0-b6c2-5d66829455c0%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A158%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 78m², 1 quarto e 1 vaga",Condomínios em São Paulo,78,1.0,1,1.0,1.0,8° a 11° andar,sim,sim,sim,R$ 10.000,R$ 1.300,R$ 400,R$ 127,R$ 259,R$ 12.086
https://www.quintoandar.com.br/imovel/893463254/alugar/casa-4-quartos-vila-madalena-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%224b6dec5e-3307-4df0-b6c2-5d66829455c0%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A98%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 400m², 4 quartos e 3 vagas",Rua Doutor Carlos Norberto de Souza Aranha,400,4.0,2,4.0,3.0,,sim,não,não,R$ 14.250,Incluso,R$ 4.084,R$ 236,R$ 369,R$ 18.939
https://www.quintoandar.com.br/imovel/895086292/alugar/apartamento-2-quartos-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%224b6dec5e-3307-4df0-b6c2-5d66829455c0%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A510%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 144m², 2 quartos e 1 vaga",Rua Cardeal Arcoverde,144,2.0,0,2.0,1.0,4° a 7° andar,sim,não,sim,R$ 7.500,R$ 1.042,R$ 282,R$ 96,R$ 194,R$ 9.114
https://www.quintoandar.com.br/imovel/893459295/alugar/apartamento-1-quarto-sumare-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%224b6dec5e-3307-4df0-b6c2-5d66829455c0%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A725%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 31m², 1 quarto e 1 vaga",Rua Paris,31,1.0,1,1.0,1.0,Até 3° andar,não,sim,sim,R$ 3.399,R$ 480,R$ 89,R$ 44,R$ 88,R$ 4.100
https://www.quintoandar.com.br/imovel/894919131/alugar/kitnet-1-quarto-sumarezinho-sao-paulo?from_route=%22search_results%22&search_id=%224b6dec5e-3307-4df0-b6c2-5d66829455c0%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A267%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 25m², 1 quarto e sem vaga",,25,1.0,0,1.0,,4° a 7° andar,sim,sim,sim,R$ 3.780,R$ 650,R$ 92,R$ 48,R$ 97,R$ 4.667
https://www.quintoandar.com.br/imovel/894277177/alugar/apartamento-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%224b6dec5e-3307-4df0-b6c2-5d66829455c0%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A642%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 48m², 1 quarto e 1 vaga",Condomínios em São Paulo,48,1.0,1,2.0,1.0,8° a 11° andar,sim,sim,sim,R$ 7.700,R$ 900,R$ 184,R$ 98,R$ 199,R$ 9.081
