pet,mobiliado,metro_proximo,area,quartos,suite,banheiros,aluguel,condominio,iptu,seguro_incendio,taxa_servico,total,cost_per_m2,cluster
0,0,0,30.0,1.0,0,1.0,1000.0,0.0,84.0,17.0,25.0,1126.0,33.33,4
1,0,0,50.0,1.0,1,1.0,1000.0,100.0,0.0,13.0,25.0,1138.0,20.0,4
0,0,0,10.0,1.0,0,1.0,1000.0,200.0,65.0,13.0,25.0,1303.0,100.0,4
0,0,0,11.0,1.0,0,1.0,1000.0,200.0,65.0,13.0,25.0,1303.0,90.91,4
0,0,0,12.0,1.0,0,1.0,1000.0,200.0,65.0,13.0,25.0,1303.0,83.33,4
0,1,0,11.0,1.0,0,1.0,1000.0,200.0,65.0,13.0,25.0,1303.0,90.91,4
0,0,0,11.0,1.0,0,1.0,1000.0,200.0,65.0,13.0,25.0,1303.0,90.91,4
0,0,0,11.0,1.0,0,1.0,1000.0,200.0,65.0,13.0,25.0,1303.0,90.91,4
0,1,0,12.0,1.0,0,1.0,1000.0,200.0,65.0,13.0,25.0,1303.0,83.33,4
0,0,0,14.0,1.0,0,1.0,1000.0,200.0,65.0,13.0,25.0,1303.0,71.43,4
0,1,0,15.0,1.0,0,1.0,1000.0,200.0,65.0,13.0,25.0,1303.0,66.67,4
0,0,0,11.0,1.0,0,1.0,1000.0,200.0,65.0,13.0,25.0,1303.0,90.91,4
0,0,0,20.0,1.0,1,1.0,1008.0,0.0,50.0,13.0,26.0,1097.0,50.4,4
0,0,0,20.0,1.0,1,1.0,1020.0,0.0,50.0,13.0,26.0,1109.0,51.0,4
0,1,0,20.0,1.0,0,1.0,1030.0,0.0,40.0,14.0,26.0,1110.0,51.5,4
1,0,1,25.0,1.0,1,1.0,1045.0,293.0,48.0,14.0,27.0,1427.0,41.8,4
0,1,0,12.0,1.0,0,1.0,1060.0,0.0,0.0,14.0,27.0,1202.0,88.33,4
0,1,0,12.0,1.0,0,1.0,1060.0,0.0,0.0,14.0,27.0,1202.0,88.33,4
1,0,0,50.0,1.0,0,1.0,1064.0,0.0,0.0,18.0,27.0,1109.0,21.28,4
1,0,0,50.0,1.0,0,1.0,1064.0,0.0,0.0,18.0,27.0,1109.0,21.28,4
1,0,0,30.0,1.0,0,1.0,1066.0,0.0,0.0,18.0,27.0,1256.0,35.53,4
0,1,0,19.0,1.0,0,1.0,1100.0,0.0,10.0,14.0,28.0,1152.0,57.89,4
1,0,0,30.0,1.0,0,1.0,1100.0,0.0,28.0,19.0,28.0,1175.0,36.67,4
1,0,0,30.0,1.0,0,1.0,1100.0,0.0,28.0,19.0,28.0,1175.0,36.67,4
0,1,0,20.0,1.0,1,1.0,1100.0,0.0,35.0,14.0,28.0,1177.0,55.0,4
1,0,0,35.0,1.0,1,1.0,1100.0,0.0,45.0,19.0,28.0,1192.0,31.43,4
0,1,0,17.0,1.0,0,1.0,1100.0,200.0,65.0,14.0,28.0,1407.0,64.71,4
0,0,0,40.0,1.0,0,1.0,1139.0,0.0,0.0,19.0,29.0,1187.0,28.48,4
0,0,1,20.0,1.0,1,1.0,1150.0,0.0,0.0,15.0,29.0,1194.0,57.5,4
0,1,0,17.0,1.0,0,1.0,1150.0,0.0,38.0,15.0,29.0,1232.0,67.65,4
0,1,0,28.0,1.0,0,1.0,1150.0,0.0,38.0,15.0,29.0,1232.0,41.07,4
1,0,0,24.0,1.0,0,1.0,1150.0,0.0,40.0,15.0,29.0,1234.0,47.92,4
1,0,0,25.0,1.0,0,1.0,1150.0,0.0,40.0,15.0,29.0,1234.0,46.0,4
1,0,0,25.0,1.0,0,1.0,1150.0,0.0,40.0,15.0,29.0,1234.0,46.0,4
1,0,0,25.0,1.0,0,1.0,1150.0,0.0,40.0,15.0,29.0,1234.0,46.0,4
1,0,0,25.0,1.0,0,1.0,1150.0,0.0,40.0,15.0,29.0,1234.0,46.0,4
1,0,0,25.0,1.0,0,1.0,1150.0,0.0,40.0,15.0,29.0,1234.0,46.0,4
1,0,0,25.0,1.0,0,1.0,1150.0,0.0,40.0,15.0,29.0,1234.0,46.0,4
